id,area,area_name,topic,subject,tags,source,kind,status,hensachi,stats_data_id,example_question,has_sparql
airport-region,chiri,地理,空港と地域,空港,地理;空港,wikidata,single-region,draft,52,,◯◯があるのはどの都道府県ですか。,yes
animal-lifespan-rank,seibutsu,生物,生き物の寿命,生き物の寿命,理科;動物;寿命,wikidata,rank,live-verified,,,生き物の中で1番目に寿命が長いとされるのは何ですか。,yes
animal-speed-rank,seibutsu,生物,動物の最高速度,動物の最高速度,理科;動物;速度,wikidata,rank,live-verified,,,動物のうち1番目に速く移動できるのは何ですか。,yes
apple-harvest,chiri,地理,農業(果物),りんごの収穫量,統計;農業;果物,e-stat,rank,fixed-untested,,0002119814,りんごの収穫量が日本一多い都道府県はどこですか。,no
basin-region,chiri,地理,盆地と地域,盆地,地理;盆地,wikidata,single-region,draft,54,,◯◯があるのはどの都道府県ですか。,yes
battle-region,rekishi,歴史,戦いの舞台,古戦場,歴史;戦い,wikidata,single-region,draft,56,,◯◯があるのはどの都道府県ですか。,yes
bay-region,chiri,地理,湾と地域,湾,地理;湾,wikidata,single-region,draft,52,,◯◯があるのはどの都道府県ですか。,yes
bird-wingspan-rank,seibutsu,生物,鳥の翼幅,鳥の翼幅,理科;動物;鳥,wikidata,rank,draft,,,翼幅が1番目に大きい鳥は何ですか。,yes
bridge-region,chiri,地理,橋と地域,橋,地理;橋,wikidata,single-region,fixed-untested,56,,◯◯があるのはどの都道府県ですか。,yes
cape-region,chiri,地理,岬と地域,岬,地理;岬,wikidata,single-region,draft,56,,◯◯があるのはどの都道府県ですか。,yes
castle-builder,rekishi,歴史,城と築城者,築城者,歴史;戦国;城,wikidata,pair,live-verified,58,,◯◯を築いたのはだれですか。,yes
castle-region,rekishi,歴史,城と地域,城,歴史;城,wikidata,single-region,draft,50,,◯◯があるのはどの都道府県ですか。,yes
cattle-stock,chiri,地理,畜産業,肉用牛の飼育頭数,統計;畜産,e-stat,rank,draft,,,肉用牛の飼育頭数が日本一多い都道府県はどこですか。,no
cave-region,chiri,地理,洞窟・鍾乳洞と地域,洞窟,地理;洞窟,wikidata,single-region,draft,60,,◯◯があるのはどの都道府県ですか。,yes
classic-work-author,rekishi,歴史,古典作品と作者,古典の作者,歴史;文学,wikidata,pair,fixed-untested,52,,「◯◯」の作者はだれですか。,yes
comet-orbit-period,chigaku,地学,彗星の公転周期,彗星の公転周期,理科;天体;彗星,wikidata,pair,live-verified,66,,◯◯が太陽のまわりを1周するのにかかる時間はおよそ何年ですか。,yes
country-continent,chiri,地理,国と大陸,大陸,地理;世界;大陸,wikidata,pair,draft,50,,◯◯があるのはどの大陸ですか。,yes
