run_uid,analysis,skill,granularity,executed_at,data_date,origin_kind,region,preset
20260307T211713-screening-alpha_jp,screening,screen-stocks,daily,2026-03-07T21:17:13,2026-03-07,backfill,jp,alpha
20260308T011604-screening-alpha_jp,screening,screen-stocks,daily,2026-03-08T01:16:04,2026-03-08,backfill,jp,alpha
20260308T105730-screening-high-dividend_jp,screening,screen-stocks,daily,2026-03-08T10:57:30,2026-03-08,backfill,jp,high-dividend
20260309T210224-screening-growth-value_jp,screening,screen-stocks,daily,2026-03-09T21:02:24,2026-03-09,backfill,jp,growth-value
20260309T210326-screening-quality_jp,screening,screen-stocks,daily,2026-03-09T21:03:26,2026-03-09,backfill,jp,quality
20260309T210936-screening-pullback_jp,screening,screen-stocks,daily,2026-03-09T21:09:36,2026-03-09,backfill,jp,pullback
20260309T214506-screening-minervini_japan,screening,screen-stocks,daily,2026-03-09T21:45:06,2026-03-09,backfill,japan,minervini
20260310T220605-screening-peg-growth_jp,screening,screen-stocks,daily,2026-03-10T22:06:05,2026-03-10,backfill,jp,peg-growth
20260415T014805-screening-turnover-ratio_jp,screening,screen-stocks,daily,2026-04-15T01:48:05,2026-04-15,backfill,jp,turnover-ratio
20260416T225357-screening-turnover-history_japan,screening,screen-stocks,daily,2026-04-16T22:53:57,2026-04-16,backfill,japan,turnover-history
20260417T010047-screening-turnover-history_japan,screening,screen-stocks,daily,2026-04-17T01:00:47,2026-04-17,backfill,japan,turnover-history
20260418T205039-screening-turnover-history_japan,screening,screen-stocks,daily,2026-04-18T20:50:39,2026-04-18,backfill,japan,turnover-history
20260425T173525-screening-turnover-history_japan,screening,screen-stocks,daily,2026-04-25T17:35:25,2026-04-25,backfill,japan,turnover-history
20260429T221401-screening-tier-master_jp,screening,screen-stocks,daily,2026-04-29T22:14:01,2026-04-29,backfill,jp,tier-master
20260506T235448-screening-minervini_japan,screening,screen-stocks,daily,2026-05-06T23:54:48,2026-05-06,backfill,japan,minervini
20260507T083303-screening-minervini_japan,screening,screen-stocks,daily,2026-05-07T08:33:03,2026-05-07,backfill,japan,minervini
20260517T224922-screening-earnings-catalyst_jp,screening,screen-stocks,daily,2026-05-17T22:49:22,2026-05-17,backfill,jp,earnings-catalyst
20260522T010316-screening-turnover-ratio_jp,screening,screen-stocks,daily,2026-05-22T01:03:16,2026-05-22,backfill,jp,turnover-ratio
20260524T214505-screening-turnover-ratio_jp,screening,screen-stocks,daily,2026-05-24T21:45:05,2026-05-24,backfill,jp,turnover-ratio
20260525T013443-screening-alpha_jp,screening,screen-stocks,daily,2026-05-25T01:34:43,2026-05-25,backfill,jp,alpha
20260525T015509-screening-pullback_jp,screening,screen-stocks,daily,2026-05-25T01:55:09,2026-05-25,backfill,jp,pullback
20260525T015521-screening-quality_jp,screening,screen-stocks,daily,2026-05-25T01:55:21,2026-05-25,backfill,jp,quality
20260525T015532-screening-high-dividend_jp,screening,screen-stocks,daily,2026-05-25T01:55:32,2026-05-25,backfill,jp,high-dividend
20260525T015553-screening-long-term_jp,screening,screen-stocks,daily,2026-05-25T01:55:53,2026-05-25,backfill,jp,long-term
20260525T082627-screening-minervini_japan,screening,screen-stocks,daily,2026-05-25T08:26:27,2026-05-25,backfill,japan,minervini
20260919T214458-sector-phase,sector,sector-analysis,monthly,2026-09-19T21:44:58,2026-09-19,skill,,
20260919T214458-sector-rotation_japan,sector,sector-analysis,weekly,2026-09-19T21:44:58,2026-09-19,skill,japan,
20260919T214506-sector-rotation_us,sector,sector-analysis,weekly,2026-09-19T21:45:06,2026-09-19,skill,us,
20260919T215410-sector-phase,sector,sector-analysis,monthly,2026-09-19T21:54:10,2026-09-19,skill,,
20260919T215410-sector-rotation_japan,sector,sector-analysis,weekly,2026-09-19T21:54:10,2026-09-19,skill,japan,
20260919T215420-sector-rotation_us,sector,sector-analysis,weekly,2026-09-19T21:54:20,2026-09-19,skill,us,
20260919T220220-sector-phase,sector,sector-analysis,monthly,2026-09-19T22:02:20,2026-09-19,skill,,
20260919T220220-sector-rotation_japan,sector,sector-analysis,weekly,2026-09-19T22:02:20,2026-09-19,skill,japan,
20260919T220832-sector-phase,sector,sector-analysis,monthly,2026-09-19T22:08:32,2026-09-19,skill,,
20260919T220832-sector-rotation_japan,sector,sector-analysis,weekly,2026-09-19T22:08:32,2026-09-19,skill,japan,
20260919T221423-sector-phase,sector,sector-analysis,monthly,2026-09-19T22:14:23,2026-09-19,skill,,
20260919T221423-sector-rotation_japan,sector,sector-analysis,weekly,2026-09-19T22:14:23,2026-09-19,skill,japan,
20260919T222454-sector-phase,sector,sector-analysis,monthly,2026-09-19T22:24:54,2026-09-19,skill,,
20260919T222454-sector-rotation_japan,sector,sector-analysis,weekly,2026-09-19T22:24:54,2026-09-19,skill,japan,
20260920T011150-sector-phase,sector,sector-analysis,monthly,2026-09-20T01:11:50,2026-09-20,skill,,
20260920T011150-sector-rotation_japan,sector,sector-analysis,weekly,2026-09-20T01:11:50,2026-09-20,skill,japan,
20260920T074353-sector-phase,sector,sector-analysis,monthly,2026-09-20T07:43:53,2026-09-20,skill,,
20260920T074627-sector-phase,sector,sector-analysis,monthly,2026-09-20T07:46:27,2026-09-20,skill,,
20260920T074640-sector-rotation_japan,sector,sector-analysis,weekly,2026-09-20T07:46:40,2026-09-20,skill,japan,
20260920T075227-strategy-plan_6862.T,strategy,stock-trading-strategy,event,2026-09-20T07:52:27,2026-09-20,skill,,
20260920T075227-strategy-plan_3131.T,strategy,stock-trading-strategy,event,2026-09-20T07:52:27,2026-09-20,skill,,
20260920T075227-strategy-plan_1860.T,strategy,stock-trading-strategy,event,2026-09-20T07:52:27,2026-09-20,skill,,
20260920T075228-strategy-plan_7282.T,strategy,stock-trading-strategy,event,2026-09-20T07:52:28,2026-09-20,skill,,
20260920T075228-strategy-plan_7419.T,strategy,stock-trading-strategy,event,2026-09-20T07:52:28,2026-09-20,skill,,
20260920T075322-strategy-plan_6862.T,strategy,stock-trading-strategy,event,2026-09-20T07:53:22,2026-09-20,skill,,
20260920T075322-strategy-plan_3131.T,strategy,stock-trading-strategy,event,2026-09-20T07:53:22,2026-09-20,skill,,
20260920T075322-strategy-plan_1860.T,strategy,stock-trading-strategy,event,2026-09-20T07:53:22,2026-09-20,skill,,
20260920T075322-strategy-plan_7282.T,strategy,stock-trading-strategy,event,2026-09-20T07:53:22,2026-09-20,skill,,
20260920T075322-strategy-plan_7419.T,strategy,stock-trading-strategy,event,2026-09-20T07:53:22,2026-09-20,skill,,
20260920T075404-strategy-plan_6862.T,strategy,stock-trading-strategy,event,2026-09-20T07:54:04,2026-09-20,skill,,
20260920T075404-strategy-plan_3131.T,strategy,stock-trading-strategy,event,2026-09-20T07:54:04,2026-09-20,skill,,
20260920T075404-strategy-plan_1860.T,strategy,stock-trading-strategy,event,2026-09-20T07:54:04,2026-09-20,skill,,
20260920T075404-strategy-plan_7282.T,strategy,stock-trading-strategy,event,2026-09-20T07:54:04,2026-09-20,skill,,
20260920T075404-strategy-plan_7419.T,strategy,stock-trading-strategy,event,2026-09-20T07:54:04,2026-09-20,skill,,
20260920T080504-screening-alpha_jp,screening,screen-stocks,daily,2026-09-20T08:05:04,2026-09-20,skill,jp,alpha
20260920T080508-screening-alpha_jp,screening,screen-stocks,daily,2026-09-20T08:05:08,2026-09-20,skill,jp,alpha
20260920T080509-screening-value_jp,screening,screen-stocks,daily,2026-09-20T08:05:09,2026-09-20,skill,jp,value
20260920T080821-screening-alpha_us,screening,screen-stocks,daily,2026-09-20T08:08:21,2026-09-20,skill,us,alpha
20260920T082214-sector-phase,sector,sector-analysis,monthly,2026-09-20T08:22:14,2026-09-20,skill,,
20260920T082214-sector-rotation_japan,sector,sector-analysis,weekly,2026-09-20T08:22:14,2026-09-20,skill,japan,
20260920T110327-sector-phase,sector,sector-analysis,monthly,2026-09-20T11:03:27,2026-09-20,skill,,
20260920T110327-sector-rotation_japan,sector,sector-analysis,weekly,2026-09-20T11:03:27,2026-09-20,skill,japan,
20260920T110910-sector-phase,sector,sector-analysis,monthly,2026-09-20T11:09:10,2026-09-20,skill,,
20260920T110910-sector-rotation_japan,sector,sector-analysis,weekly,2026-09-20T11:09:10,2026-09-20,skill,japan,
20260920T111618-sector-phase,sector,sector-analysis,monthly,2026-09-20T11:16:18,2026-09-20,skill,,
20260920T111618-sector-rotation_japan,sector,sector-analysis,weekly,2026-09-20T11:16:18,2026-09-20,skill,japan,
20260920T112806-sector-phase,sector,sector-analysis,monthly,2026-09-20T11:28:06,2026-09-20,skill,,
