screen_id,region,preset,symbol,name,sector,appearances,run_count,rate,current_streak,longest_streak,first_date,last_date,latest_score,mean_score,score_delta,is_new,is_gone
jp_alpha,jp,alpha,2121.T,MIXI. INC,,4,4,1.0000,4,4,2026-03-07,2026-09-20,102.35,120.24,-26.84,0,0
jp_alpha,jp,alpha,6371.T,TSUBAKIMOTO CHAIN CO,,3,4,0.7500,1,2,2026-03-07,2026-09-20,102.22,108.32,-9.11,0,0
jp_alpha,jp,alpha,9025.T,KONOIKE TRANSPORT CO LIMITED,,3,4,0.7500,0,3,2026-03-07,2026-05-25,119.09,117.62,2.41,0,0
jp_alpha,jp,alpha,9201.T,JAPAN AIRLINES CO LTD,,3,4,0.7500,0,3,2026-03-07,2026-05-25,115.52,113.91,2.41,0,0
jp_alpha,jp,alpha,9503.T,KANSAI ELECTRIC POWER CO INC,,3,4,0.7500,0,3,2026-03-07,2026-05-25,103.29,122.46,-28.76,0,0
jp_alpha,jp,alpha,1766.T,TOKEN CORPORATION,,3,4,0.7500,0,3,2026-03-07,2026-05-25,101.94,105.83,-5.83,0,0
jp_alpha,jp,alpha,5110.T,SUMITOMO RUBBER INDUSTRIES,,2,4,0.5000,2,2,2026-05-25,2026-09-20,113.72,113.22,1.00,0,0
jp_alpha,jp,alpha,5101.T,YOKOHAMA RUBBER CO,,2,4,0.5000,2,2,2026-05-25,2026-09-20,109.01,107.18,3.66,0,0
jp_alpha,jp,alpha,8309.T,SUMITOMO MITSUI TRUST GP INC,,2,4,0.5000,0,2,2026-03-07,2026-03-08,123.47,123.47,0.00,0,0
jp_alpha,jp,alpha,4043.T,TOKUYAMA CORP,,2,4,0.5000,0,2,2026-03-07,2026-03-08,122.71,122.71,0.00,0,0
jp_alpha,jp,alpha,9507.T,SHIKOKU ELECTRIC POWER CO INC,,2,4,0.5000,0,2,2026-03-07,2026-03-08,119.32,119.32,0.00,0,0
jp_alpha,jp,alpha,9508.T,KYUSHU ELECTRIC POWER CO INC,,2,4,0.5000,0,2,2026-03-07,2026-03-08,117.82,117.78,0.07,0,0
jp_alpha,jp,alpha,9110.T,NS UNITED KAIUN KA,,2,4,0.5000,0,2,2026-03-07,2026-03-08,114.83,114.83,0.00,0,0
jp_alpha,jp,alpha,6250.T,YAMABIKO CORPORATION,,2,4,0.5000,0,2,2026-03-07,2026-03-08,111.88,111.88,0.00,0,0
jp_alpha,jp,alpha,4202.T,DAICEL CORPORATION,,2,4,0.5000,0,2,2026-03-07,2026-03-08,111.76,111.76,0.00,0,0
jp_alpha,jp,alpha,2432.T,DENA CO LTD,,2,4,0.5000,0,2,2026-03-07,2026-03-08,110.74,110.79,-0.10,0,0
jp_alpha,jp,alpha,7283.T,AISAN INDUSTRY CO,,2,4,0.5000,0,2,2026-03-07,2026-03-08,109.50,109.50,0.00,0,0
jp_alpha,jp,alpha,8131.T,MITSUUROKO GROUP HOLDINGS CO LT,,2,4,0.5000,0,2,2026-03-07,2026-03-08,109.19,109.19,0.00,0,0
jp_alpha,jp,alpha,6455.T,MORITA HOLDINGS,,2,4,0.5000,0,2,2026-03-07,2026-03-08,109.14,109.14,0.00,0,0
jp_alpha,jp,alpha,9045.T,KEIHAN HOLDINGS CO LTD,,2,4,0.5000,0,2,2026-03-07,2026-03-08,109.00,108.98,0.04,0,0
jp_alpha,jp,alpha,5440.T,KYOEI STEEL LTD,,2,4,0.5000,0,2,2026-03-07,2026-03-08,108.64,108.64,0.00,0,0
jp_alpha,jp,alpha,4526.T,RIKEN VITAMIN CO,,2,4,0.5000,0,2,2026-03-07,2026-03-08,106.83,106.83,0.00,0,0
jp_alpha,jp,alpha,5076.T,INFRONEER HLDGS INC,,1,4,0.2500,1,1,2026-09-20,2026-09-20,131.73,131.73,,0,0
jp_alpha,jp,alpha,8473.T,SBI HOLDINGS INC,,1,4,0.2500,1,1,2026-09-20,2026-09-20,128.59,128.59,,0,0
jp_alpha,jp,alpha,7282.T,TOYODA GOSEI,,1,4,0.2500,1,1,2026-09-20,2026-09-20,127.39,127.39,,0,0
jp_alpha,jp,alpha,8609.T,OKASAN SECURITIES GROUP INC,,1,4,0.2500,1,1,2026-09-20,2026-09-20,118.74,118.74,,0,0
jp_alpha,jp,alpha,1879.T,SHINNIHON CORP,,1,4,0.2500,1,1,2026-09-20,2026-09-20,117.49,117.49,,0,0
jp_alpha,jp,alpha,1860.T,TODA CORP,,1,4,0.2500,1,1,2026-09-20,2026-09-20,111.85,111.85,,0,0
jp_alpha,jp,alpha,7419.T,NOJIMA CORP,,1,4,0.2500,1,1,2026-09-20,2026-09-20,111.72,111.72,,0,0
jp_alpha,jp,alpha,9031.T,NISHI-NIPPON RAILROAD CO,,1,4,0.2500,1,1,2026-09-20,2026-09-20,110.21,110.21,,0,0
jp_alpha,jp,alpha,6395.T,TADANO LTD,,1,4,0.2500,1,1,2026-09-20,2026-09-20,109.73,109.73,,0,0
jp_alpha,jp,alpha,7224.T,SHINMAYWA INDUSTRIES,,1,4,0.2500,1,1,2026-09-20,2026-09-20,109.15,109.15,,0,0
jp_alpha,jp,alpha,8601.T,DAIWA SECURITIES GROUP,,1,4,0.2500,1,1,2026-09-20,2026-09-20,108.28,108.28,,0,0
jp_alpha,jp,alpha,1808.T,HASEKO CORPORATION,,1,4,0.2500,1,1,2026-09-20,2026-09-20,106.11,106.11,,0,0
jp_alpha,jp,alpha,1720.T,TOKYU CONSTRUCTION CO(NEW),,1,4,0.2500,1,1,2026-09-20,2026-09-20,104.82,104.82,,0,0
jp_alpha,jp,alpha,9022.T,CENTRAL JAPAN RAILWAY CO,,1,4,0.2500,1,1,2026-09-20,2026-09-20,102.56,102.56,,0,0
jp_alpha,jp,alpha,1885.T,TOA CORPORATION (CONST),,1,4,0.2500,1,1,2026-09-20,2026-09-20,102.24,102.24,,0,0
jp_alpha,jp,alpha,4633.T,SAKATA INX CORP,,1,4,0.2500,1,1,2026-09-20,2026-09-20,101.59,101.59,,0,0
jp_alpha,jp,alpha,6448.T,BROTHER INDUSTRIES,,1,4,0.2500,1,1,2026-09-20,2026-09-20,101.38,101.38,,0,0
jp_alpha,jp,alpha,3296.T,NIPPON REIT INVESTMENT CORPORAT,,1,4,0.2500,1,1,2026-09-20,2026-09-20,100.14,100.14,,0,0
jp_alpha,jp,alpha,8074.T,YUASA CO LTD,,1,4,0.2500,1,1,2026-09-20,2026-09-20,100.06,100.06,,0,0
jp_alpha,jp,alpha,1719.T,HAZAMA ANDO CORP,,1,4,0.2500,1,1,2026-09-20,2026-09-20,98.93,98.93,,0,0
jp_alpha,jp,alpha,9021.T,WEST JAPAN RAILWAY CO,,1,4,0.2500,1,1,2026-09-20,2026-09-20,98.91,98.91,,0,0
jp_alpha,jp,alpha,3148.T,CREATE SD HOLDINGS CO LTD,,1,4,0.2500,1,1,2026-09-20,2026-09-20,98.74,98.74,,0,0
jp_alpha,jp,alpha,1861.T,KUMAGAI GUMI CO,,1,4,0.2500,1,1,2026-09-20,2026-09-20,98.60,98.60,,0,0
jp_alpha,jp,alpha,3289.T,TOKYU FUDOSAN HOLDINGS CORPORAT,,1,4,0.2500,1,1,2026-09-20,2026-09-20,98.28,98.28,,0,0
jp_alpha,jp,alpha,4507.T,SHIONOGI & CO,,1,4,0.2500,1,1,2026-09-20,2026-09-20,97.77,97.77,,0,0
jp_alpha,jp,alpha,9037.T,HAMAKYOREX CO LTD,,1,4,0.2500,1,1,2026-09-20,2026-09-20,97.71,97.71,,0,0
jp_alpha,jp,alpha,7296.T,F.C.C. CO LTD,,1,4,0.2500,0,1,2026-05-25,2026-05-25,118.25,118.25,,0,0
jp_alpha,jp,alpha,1662.T,JAPAN PETROLEUM EXPLORATION CO ,,1,4,0.2500,0,1,2026-05-25,2026-05-25,118.00,118.00,,0,0
jp_alpha,jp,alpha,1333.T,UMIOS CORP,,1,4,0.2500,0,1,2026-05-25,2026-05-25,116.22,116.22,,0,0
jp_alpha,jp,alpha,6750.T,ELECOM CO,,1,4,0.2500,0,1,2026-05-25,2026-05-25,111.10,111.10,,0,0
jp_alpha,jp,alpha,8975.T,ICHIGO OFFICE REITINVESTMENT CO,,1,4,0.2500,0,1,2026-05-25,2026-05-25,108.86,108.86,,0,0
jp_alpha,jp,alpha,9505.T,HOKURIKU ELECTRIC POWER CO,,1,4,0.2500,0,1,2026-05-25,2026-05-25,108.69,108.69,,0,0
jp_alpha,jp,alpha,8154.T,KAGA ELECTRONICS CO,,1,4,0.2500,0,1,2026-05-25,2026-05-25,107.36,107.36,,0,0
jp_alpha,jp,alpha,3291.T,IIDA GROUP HOLDINGS CO LTD,,1,4,0.2500,0,1,2026-05-25,2026-05-25,105.11,105.11,,0,0
jp_alpha,jp,alpha,9107.T,KAWASAKI KISEN KAISHA,,1,4,0.2500,0,1,2026-05-25,2026-05-25,104.67,104.67,,0,0
jp_alpha,jp,alpha,9513.T,ELECTRIC POWER DEVELOPMENT,,1,4,0.2500,0,1,2026-05-25,2026-05-25,103.82,103.82,,0,0
jp_alpha,jp,alpha,8098.T,INABATA & CO,,1,4,0.2500,0,1,2026-05-25,2026-05-25,103.71,103.71,,0,0
jp_alpha,jp,alpha,8985.T,JAPAN HOTEL REIT INVESTMENT COR,,1,4,0.2500,0,1,2026-05-25,2026-05-25,101.90,101.90,,0,0
jp_alpha,jp,alpha,5857.T,ARE HOLDINGS INC,,1,4,0.2500,0,1,2026-05-25,2026-05-25,101.79,101.79,,0,0
japan_minervini,japan,minervini,5801.T,,,4,4,1.0000,4,4,2026-03-09,2026-05-25,,,,0,0
japan_minervini,japan,minervini,5802.T,,,4,4,1.0000,4,4,2026-03-09,2026-05-25,,,,0,0
japan_minervini,japan,minervini,5713.T,,,4,4,1.0000,4,4,2026-03-09,2026-05-25,,,,0,0
japan_minervini,japan,minervini,5803.T,,,4,4,1.0000,4,4,2026-03-09,2026-05-25,,,,0,0
japan_minervini,japan,minervini,5333.T,,,4,4,1.0000,4,4,2026-03-09,2026-05-25,,,,0,0
japan_minervini,japan,minervini,4062.T,,,4,4,1.0000,4,4,2026-03-09,2026-05-25,,,,0,0
japan_minervini,japan,minervini,6857.T,,,4,4,1.0000,4,4,2026-03-09,2026-05-25,,,,0,0
japan_minervini,japan,minervini,6920.T,,,4,4,1.0000,4,4,2026-03-09,2026-05-25,,,,0,0
japan_minervini,japan,minervini,6503.T,,,4,4,1.0000,4,4,2026-03-09,2026-05-25,,,,0,0
japan_minervini,japan,minervini,6981.T,,,3,4,0.7500,3,3,2026-05-06,2026-05-25,,,,0,0
japan_minervini,japan,minervini,8035.T,,,3,4,0.7500,3,3,2026-05-06,2026-05-25,,,,0,0
japan_minervini,japan,minervini,6504.T,,,3,4,0.7500,3,3,2026-05-06,2026-05-25,,,,0,0
japan_minervini,japan,minervini,9984.T,,,3,4,0.7500,3,3,2026-05-06,2026-05-25,,,,0,0
japan_minervini,japan,minervini,1942.T,,,3,4,0.7500,0,3,2026-03-09,2026-05-07,,,,0,0
japan_minervini,japan,minervini,8015.T,,,3,4,0.7500,0,3,2026-03-09,2026-05-07,,,,0,0
japan_minervini,japan,minervini,1803.T,,,3,4,0.7500,0,3,2026-03-09,2026-05-07,,,,0,0
japan_minervini,japan,minervini,6361.T,,,3,4,0.7500,0,3,2026-03-09,2026-05-07,,,,0,0
japan_minervini,japan,minervini,1944.T,,,3,4,0.7500,0,3,2026-03-09,2026-05-07,,,,0,0
japan_minervini,japan,minervini,6525.T,,,3,4,0.7500,0,3,2026-03-09,2026-05-07,,,,0,0
japan_minervini,japan,minervini,7182.T,,,2,4,0.5000,1,1,2026-03-09,2026-05-25,,,,0,0
japan_minervini,japan,minervini,8053.T,,,2,4,0.5000,0,2,2026-05-06,2026-05-07,,,,0,0
japan_minervini,japan,minervini,285A.T,,,1,4,0.2500,1,1,2026-05-25,2026-05-25,,,,0,0
japan_minervini,japan,minervini,6762.T,,,1,4,0.2500,1,1,2026-05-25,2026-05-25,,,,0,0
japan_minervini,japan,minervini,5334.T,,,1,4,0.2500,1,1,2026-05-25,2026-05-25,,,,0,0
japan_minervini,japan,minervini,8591.T,,,1,4,0.2500,1,1,2026-05-25,2026-05-25,,,,0,0
japan_minervini,japan,minervini,5706.T,,,1,4,0.2500,1,1,2026-05-25,2026-05-25,,,,0,0
